Ticker,변동성,평균 주간 수익률
A000020,0.373615451,0.005403087
A000080,0.255891538,0.001427162
A000180,0.291989445,-1.68623E-05
A000227,0.37245183,0.006893274
A000325,0.099476604,0.001053899
A000440,0.193802395,0.004740827
A000590,0.171930816,8.1181E-05
A000670,0.275057648,-0.001735496
A000700,0.183849276,0.000922488
A001000,0.210816441,0.002515149
A001020,0.81608771,-0.003525877
A001070,0.382823891,0.006014485
A001270,0.145420724,0.001792475
A001290,0.383514698,0.001960441
A001390,0.302356249,0.003987959
A001450,0.220017179,-0.000574821
A001460,0.312575432,-0.001181322
A001465,0.210535206,-8.39378E-05
A001470,1.848196782,-0.000862126
A001525,0.332022665,0.000607308
A001780,0.360858221,0.002638824
A001790,0.126172255,0.001243826
A001799,,
A001800,0.432370282,-0.004532666
A001810,0.185332502,0.000803096
A002030,0.163772564,0.00037565
A002070,0.418187634,0.0050275
A002170,0.151439677,0.002088178
A002230,0.180366838,-6.0078E-07
A002290,0.164032934,0.004882739
A002300,,
A002310,0.282286287,0.004671471
A002360,0.2266254,-0.000353759
A002420,0.187359947,0.004609304
A002460,0.144600144,0.001454826
A002550,,
A002710,0.241763803,0.005615193
A002790,0.381003996,-0.002477711
A002840,0.450081758,0.006852844
A002900,0.315620553,0.005735512
A002990,0.19107287,0.001295483
A003010,0.251846524,0.005735028
A003075,0.409314962,0.006534274
A003220,0.116811513,0.002424289
A003480,0.245078888,0.001346408
A003530,0.209312818,1.11933E-05
A003535,0.270617824,0.004662743
A003547,0.106251735,0.001712624
A003560,0.17794121,0.000725994
A003580,0.352426689,0.008581437
A003650,0.127530762,-0.000259535
A003670,0.590943925,0.010153488
A003680,0.298841163,0.002583927
A003780,0.189895142,0.004877588
A003800,0.159927602,0.001731404
A004080,0.084453058,0.001204661
A004200,,
A004255,0.147716245,-0.00114053
A004365,0.126726061,-3.70395E-05
A004410,0.229860913,0.003680959
A004430,0.231707792,0.00189345
A004490,0.142868999,0.00307687
A004540,0.258954569,0.002095745
A004545,0.183723078,0.004968327
A004650,0.214144483,-0.000165015
A004830,0.4593602,0.002356166
A004840,0.310585453,-0.000550542
A004890,0.134448729,0.001923651
A004910,0.312023373,-0.001367502
A004980,0.264008223,0.003042115
A004985,0.432886462,0.007946562
A004987,,
A005180,0.097931349,-0.000144663
A005257,1.229254681,0.015195238
A005305,0.131091514,-0.000738741
A005320,0.382185012,0.003851613
A005387,0.15597201,0.000753974
A005670,0.198747924,0.003734043
A005680,0.186861743,-3.98834E-05
A005690,0.574527089,0.010575927
A005720,0.223558119,-0.001220813
A005740,0.411381152,-0.001667812
A005800,0.206973041,-0.000812518
A005870,0.290025436,-0.000854731
A005990,0.357631714,-0.002719063
A006040,0.190959905,0.000420902
A006050,0.336703682,0.005241534
A006060,0.175910887,0.001477945
A006090,0.232276542,-5.87529E-05
A006120,0.320111257,0.002770849
A006140,0.094620241,0.002199055
A006260,0.243279224,0.003716311
A006280,0.309661798,0.003428313
A006370,0.316678401,-0.000961268
A006390,0.399864274,0.009304841
A006580,0.300103283,0.004758148
A006620,0.283314446,-0.128010139
A006650,0.314611282,0.00289302
A006740,0.197346738,0.005304695
A00680K,0.115862802,-0.053571429
A007110,0.329776027,0.005957866
A007190,,
A007540,0.223497538,0.002621727
A007590,0.074159293,0.000485788
A007700,0.580717636,0.008758414
A007770,0.157048515,0.001078406
A007810,0.352445499,0.003805863
A007820,0.322371434,0.002490128
A007860,0.442578613,0.002691645
A008000,,
A008040,0.257631552,0.000142473
A008290,0.264184948,-1.24762E-05
A008370,0.102487021,0.00131531
A008470,0.108979533,0.00055803
A008600,0.349635253,0.000963014
A008770,0.235554753,0.002122853
A008775,0.192145003,0.004621272
A008800,,
A008830,0.123162521,0.003576421
A008970,0.339525584,0.003705934
A009150,0.329531201,0.005485862
A009155,0.284982557,0.005301413
A009290,0.175516164,0.000585843
A009320,0.280641961,0.005603138
A009410,0.407483779,0.007274296
A009460,0.487050608,0.006150172
A009780,0.195636365,0.003809039
A009830,0.301799878,0.004095096
A009900,0.057887446,1.216066482
A010060,0.326420092,0.003077316
A010620,0.217495545,0.003814322
A010770,0.302820591,0.003540193
A010960,0.164156836,0.00241148
A011070,0.243715502,0.004097292
A011090,0.456080727,-0.001311449
A011150,0.205840605,0.003465681
A011155,0.312445098,0.006462479
A011170,0.240479934,0.001280731
A011230,0.355595685,0.004357562
A011280,0.322738544,0.004544312
A011370,0.279561441,0.000947018
A011560,0.304828309,0.001235884
A011690,0.571117933,0.002967429
A012030,0.143515807,0.002816324
A012170,0.733495516,-0.004043312
A012280,0.166548595,0.003819937
A012340,0.31589693,0.000932623
A012600,0.477402741,0.006836645
A012620,0.111047631,7.55819E-06
A012750,0.069062419,-0.000320976
A013000,0.244814906,0.005672972
A013310,0.408224726,0.001190303
A013520,0.310769377,-0.000464815
A013720,0.399654234,0.007213646
A013810,0.3693871,0.009070936
A013870,0.256544482,0.005157538
A014915,0.523177941,0.009537952
A014970,0.294838977,0.00710426
A015020,0.402453512,-0.000155144
A015350,0.121760458,0.001970275
A015540,0.574625575,-0.001729179
A016250,0.243860767,0.003398205
A016360,0.103542732,0.001083107
A016385,0.283689767,0.005956981
A016600,0.34775682,0.003095726
A016710,0.396327065,0.00413063
A016790,0.305105157,0.865889213
A016800,0.075687411,-0.000726066
A017000,0.294089984,0.001965698
A017370,0.348895766,0.000792253
A017550,0.215377753,0.003398595
A017670,0.091217326,0.000981667
A017960,0.202782993,0.004430195
A018120,0.058834608,-0.000130094
A018620,0.343434007,0.002895427
A019175,2.069504238,0.022581579
A019490,0.290128997,-0.001914822
A019570,0.922835536,0.00324002
A019660,0.338291859,0.001751176
A020120,0.483204247,0.006759518
A020560,0.144489251,0.002284241
A021240,0.122436899,5.65008E-05
A023760,0.141415386,0.000212442
A023790,0.233687202,0.00559709
A024900,0.20582214,0.002012889
A024940,0.20539051,0.001438142
A025000,0.138838618,0.00120376
A025620,0.604494679,0.002155173
A025750,0.208315738,0.003477908
A025860,0.247017682,0.000775719
A025880,0.335067196,0.003802253
A027390,,
A027580,0.464678374,-0.000579067
A027830,0.221277559,0.003807762
A028670,0.178206185,0.002661769
A029460,0.272050031,0.005803847
A029530,0.267014932,-0.001648798
A030350,0.421105808,0.00083966
A031440,0.343353467,-0.002441575
A031510,0.335066842,0.004607491
A031820,0.14063429,0.002120268
A032350,0.321732916,0.004932728
A032560,0.227589742,0.003360051
A032580,0.26974048,-0.000630414
A032620,0.431342119,0.005557861
A032680,0.175777496,0.002828412
A032685,0.297961959,0.005690117
A032830,0.257833282,6.69402E-05
A032850,0.344237389,0.003368513
A033050,0.178133067,0.001897738
A033110,0.762475945,-0.00244562
A033160,0.159808722,0.003210568
A033170,0.263228779,-0.000417199
A033200,0.332778467,0.0096912
A033240,0.308662909,0.004085315
A033320,0.239796448,0.004956993
A033340,0.408967586,0.00360172
A033600,,
A033830,0.251742269,0.005310768
A035080,0.545284962,-0.004711455
A035890,0.140227247,0.003181909
A036200,0.247305779,0.003952766
A036500,,
A036670,0.135117571,0.00137927
A036810,0.801400112,0.010272972
A037350,0.252944327,0.001723566
A038110,0.326839279,0.00028432
A038950,0.205150326,0.002527506
A039010,0.187307785,0.001318813
A039020,0.158414074,0.000578602
A039310,0.202287473,0.000902212
A039340,0.186251071,0.003715161
A039560,0.257911108,0.005288877
A039570,0.2400818,-0.000882056
A039830,0.127542664,3.16673E-05
A039860,0.308053287,0.002877667
A040300,0.18099924,0.001085478
A040350,0.3222454,0.004897879
A040420,0.081554299,8.73796E-05
A041830,0.345957716,-0.003267843
A042370,0.217105215,0.005029694
A042520,0.228341459,0.000748278
A043220,0.389111443,0.003760292
A043370,0.252670214,1.16805E-05
A043610,0.225252425,0.001693297
A043910,0.311572345,0.005227779
A044180,0.500493118,-0.00160217
A044450,0.123610068,0.001412623
A045300,0.23287997,0.003975054
A046110,0.23088739,0.003058026
A046120,0.222508483,0.002864374
A046310,0.321624757,0.004145926
A046390,0.188813686,0.004278709
A047080,0.320066775,0.00220606
A047310,0.371169175,0.005242806
A047400,0.249513641,0.005078976
A047440,,
A047770,2.053317201,0.001807011
A047810,0.374655681,-0.002261151
A047920,0.45030452,0.007297534
A048470,0.463936197,0.006530991
A049180,0.610602085,0.003600473
A049470,0.496327594,-0.002232434
A049520,0.186080344,-0.000913587
A049550,0.389493594,0.00149126
A049830,0.205154906,0.000678844
A050110,0.189778299,0.003098549
A050540,0.546818156,-0.007601627
A051360,0.125572334,0.001033471
A051500,0.356193561,-0.003869076
A051900,0.177383535,0.002668775
A052460,0.19687975,0.001714869
A052690,0.221689606,-0.000352465
A053050,0.14904908,0.000627583
A053060,0.45627774,0.001420295
A053080,0.043077807,0.016470588
A053610,0.342249278,0.007674261
A053620,0.151901336,0.000532167
A053700,0.232393352,0.002833556
A054410,0.320205124,0.00011684
A054450,0.185030318,0.004213589
A054780,0.166188822,0.001862558
A054940,0.223442967,0.00222091
A054950,0.253956969,0.00015898
A056000,0.433888943,0.005637392
A056190,0.144562446,0.002820391
A057680,0.468381736,0.005028987
A058400,0.308095892,0.008485453
A058420,0.489347034,-0.001082271
A058610,0.251443255,0.003753601
A059120,0.260043929,0.003737007
A059270,,
A060080,,
A060240,0.390115103,-7.76856E-06
A060260,0.672740063,0.004589867
A060300,0.748867303,-0.007354064
A060540,0.126485703,0.00262274
A060560,0.265082348,0.00164541
A060570,0.282427925,0.004329233
A061460,,
A063570,0.28964456,0.001091474
A064090,0.597541777,-0.005931374
A064350,0.255202902,0.003625283
A064550,0.488563052,0.006594441
A064960,0.256733184,-0.000695147
